nomacheteur,records
CCAS de LANESTER,2
Union de caisses Institut Inter régional pour la Santé (UC-IRSA),2
CHP de Morlaix - GHT de Bretagne Occidentale,2
"Chu Caen Normandie, établissement support du GHT Normandie centre",2
SHEMA au nom et pour le compte du Centre National de la Fonction Publique Territoriale,2
Direction Nationale des Garde-côtes des Douanes (DNGCD),2
VILLE DE LAMBALLE-ARMOR,2
Caisse Primaire d'Assurance Maladie de Loire-Atlantique (CPAM).,2
Commune du Fenouiller (85),2
Marché de travaux,2
Groupement Hospitalier de Territoire 79 - CH NIORT,2
Ville et CCAS de Port-Jérôme-sur-Seine,2
SPL COMPAGNIE DES PORTS DU MORBIHAN,2
EPIC LES FRANCISCAINES DEAUVILLE,2
COMMUNE DE L'AIGLE,2
Centre Intercommunal D'Action Sociale,2
Syndicat mixte des ports de pêche et de plaisance de Cornouaille,2
"CHD Vendée - Etablissement support du GHT Vendée
Coordonnateur du Groupement de Commandes",2
SPL EQUIPEMENTS DU MORBIHAN,2
EHPAD LES PINELLES,2
Travaux déchèterie,2
COMMUNE DE BOUVRON,2
Commune D'Emanville,2
CC Seulles Terre et Mer,2
Ministère de la justice - SG/2S2M/SDIT,2
Ecole navale Lanveoc,2
Centre Communal d'Action Sociale (CCAS),2
CCAS DE BREST,2
GCS ACHATS SANTE BRETAGNE,2
CENTRE HOSPITALIER DU MANS - ETS SUPPORT DU GHT 72,2
Région de Gendarmerie Bretagne - RGBRET Rennes,2
Communauté de Communes Val d'Ille-Aubigné,2
Mairie de Gisors,2
MAIRIE DE QUIBERON,2
SHEMA au nom et pour le compte du Syndicat Mixte du Haras National du PIn,2
EPMS du Chateau de Vaux,2
GHT NORMANDIE CENTRE,2
Mairie de Saint-Jean-de-Boiseau,2
Mairie des Herbiers,2
COMMUNAUTE DE COMMUNES VAL ES DUNES,2
COMMANDEMENT DES ÉCOLES DE LA GENDARMERIE NATIONALE,2
COUR D APPEL DE POITIERS,2
Préfecture de Région Bretagne,2
Communauté de Communes du Pays de Honfleur - Beuzeville,2
COMMUNE DE BREST,2
Association E-TOILE,2
Direction Interrégionale des Services Pénitentiaires (DISP) de Rennes,2
INESAAE,2
CHRU Caen Normandie,2
GIE Dragages-Ports,2
Comité régional du tourisme de Bretagne,2
OBSERVATOIRE REGION TRANSPORTS BRETAGN,2
Ville de Saint Julien de Concelles,2
Commune de l'Ile de Bréhat,2
EHPAD Ty Pors Moro,2
SPL CONSTRUCTION PUBLIQUE D'ILLE-ET-VILAINE,2
SAMOA (agissant au nom et pour le compte de NANTES METROPOLE),2
Mairie de SERVON-SUR-VILAINE,2
Concarneau Cornouaille Agglomération - Service Grand Cycle de l'Eau,2
"IFCE
170, Avenue du Cadre Noir
49400 SAUMUR",2
"Conseil départemental de l'Orne
Secrétariat général
Direction des Achats  et de la Logistique",2
VILLE DE VALOGNES,2
Ca quimper bretagne occidentale,2
UNIVERSITE  BRETAGNE SUD,2
Brest métropole aménagement SPL,2
Etablissement public Loire,2
SHEMA au nom et pour le compte de la Communauté de Communes des pays de L'AIGLE,2
Commune de Sainte-Anne-sur-Vilaine,2
Commune de Fontenay,2
Commune de Thue et Mue,2
SECRETARIAT GENERAL DU MINISTERE DE LA JUSTICE (SG) DELEGATION INTERREGIONALE GRAND-OUEST,2
Mairie de Pont-Audemer,2
Vendée Expansion - SPL,2
MAIRIE DE NOYAL CHATILLON SUR SEICHE,2
HOPITAUX DU SUD MANCHE,2
CIAS DE LANNION-TREGOR COMMUNAUTE,2
MAIRIE DE CHAMBOIS,2
"Ports de Normandie
3 rue René Cassin
14280 SAINT CONTEST",2
Centre ministériel de Valorisation des Ressources Humaines (CMVRH) - Ministere de la Transition écologique et de la cohésion des territoires,2
LOGISTIC,2
EMA/DCSSA/Direction des Approvisionnements en Produits de Santé (DAPSA),2
Mairie de Saint Lunaire,2
Administration Pénitentiaire,2
13000398100011,2
CENTRE HOSPITALIER DU MANS - ETS support GHT 72,2
173501115001561,2
Commune de LANGRUNE SUR MER,2
"Mairie de Crécy-Couvé
1, rue du Relais 
28500 Crécy-Couvé",2
Commune de Parcé-sur-Sarthe,2
Chambre de commerce et d'industrie du Finistère,2
Commune de Gouville sur Mer,2
Gendarmerie Nationale - COMSOPGN - Le Blanc,2
"CHU ANGERS, ETABLISSEMENT SUPPORT DU GROUPEMENT HOSPITALIER DE TERRITOIRE DU MAINE ET LOIRE",2
COMMUNE DE RIVES-EN-SEINE,2
Direction Interrégionale des Services Pénitentiaires de Rennes.,2
Spl Erdre Cens Chezine Restauration Durable,2
"Centre hospitalier de Coutances
Rue de la Gare
50200 Coutances",2
ARZON EVENEMENTS,2
Fourniture de dispositifs médicaux,2
Mairie - cuisine centrale plérin,2
Commune de Plémet,2
SIRESCOL,2
SIVU des Rives de l'Elorn,2
Mairie de Fougères,2
Commune de Sautron,2
Groupement des 2 Abbayes,2
Commune de Saint Cast Le Guildo,2
"Groupement de commandes Ville de Cholet / Cholet Agglomération / CIAS du Choletais / CCAS de Cholet

Coordonnateur : Ville de Cholet",2
Ecole nationale vétérinaine d alfort,2
"Ministère de l'économie, des finances et de la souveraineté industrielle et numérique
Direction Nationale Garde-Côtes des Douanes, 
17 rue Ferrer 76054 LE HAVRE.",2
TRAVAUX DE TRANSFORMATION DU LABORATOIRE L2 MYCOBACTERIE EN LABORATOIRE L3 DU BATIMENT IBS POUR LE CHU D'ANGERS,2
"Grand port fluvio-maritime de l'axe Seine
Direction territoriale de Rouen",2
CCI de région Hauts-de-France,2
MTECT (ministère en charge de l'Ecologie),2
S.IA.S.C.,2
ECOLE NATIONALE SUPERIEURE D'ARTS ET METIERS (ENSAM),2
CENTRE HOSPITALIER INTERCOMMUNLA ELBEUF LOUVIERS VAL DE REUIL,2
CCI FINSTERE,2
AGENCE DE L'EAU SEINE-NORMANDIE,2
Centre Communal d'Action Sociale de Trouville-sur-Mer,2
Lycée Polyvalent Sadi Carnot-Jean Bertin,2
Lycée Aristide Briand,2
CCAS DE FECAMP,2
"Groupement de commandes coordonné par la Communauté de Communes Bretagne romantique regroupant les communes de Bonnemain, Cuguen, Dingé, Hédé, Lanrigan, La Baussaine, Les Iffs, Longaulnay, Lourmais, Meillac, Mesnil-Roc'h, Plesder, Québriac, Saint-Domineuc, Saint-Thual, Saint-Brieuc-des-Iffs, Saint-Léger-des-Prés, Tinténiac, Tréméheuc et Trimer",2
INRAE Centre Bretagne-Normandie,2
"GROUPEMENT SHEMA, NEXITY FONCIER CONSEIL, POZZO PROMOTION",2
AGIR Transport - CATP,2
SHEMA - Au nom et pour le compte de l'INTERCOM BERNAY TERRES DE NORMANDIE,2
SDIS 35 - Coordonnateur du groupement de commande,2
Commune de Cesson-Sevigné,2
AUTRES ORGANISMES PUBLICS,2
Commune de Nesmy (85),2
CCAS d'Hennebont,2
Syndicat Mixte des Ports de Pêche et de Plaisance de Cornouaille,2
Ville de Saint herblain,2
Centre hospitalier de Coutances,2
Commune de dinard,2
BAUD COMMUNAUTE,2
Centre Intercommunal d'Action Sociale du Choletais,2
ENEZ SUN ENERGIES,2
Conseil d'Etat - Direction de la prospective et des finances,2
Rectorat de NANTES,2
MSA Mayenne-Orne-Sarthe,2
SYNDICAT DES EAUX DU BAS-LEON,2
COMMANDEMENT DES ECOLES DE LA GENDARMERIE NATIONALE,2
VILLE ET CCAS DE BOUGUENAIS,2
Établissement public dans le domaine de l'énergie.,2
"EPF DE LA VENDEE
123 BOULEVARD LOUIS BLANC
85 000 LA ROCHE SUR YON",2
PFRA NORMANDIE - SGAR,2
"Centre hospitalier mémorial France Etats Unis
715 rue Dunant
50009 Saint-Lô cedex",2
Direction Interdépartementale Des Routes Ouest,2
Direction interdépartementale des routes Ouest (DIR Ouest),2
OPH FOUGERES HABITAT,2
Sous-Direction de la préfiguration agence ministérielle de gestion,2
SAINT-BRIEUC ARMOR AGGLOMÉRATION,2
MAIRIE DE LUC SUR MER,2
Conseil départemental de l'Orne Direction des Achats et de la logistique,2
CENTRE DEPARTEMENTAL DE L'ENFANCE ET DE LA FAMILLE D'AMIENS,2
Service Prévention et Gestion des déchets ménagers et assimilés,2
Chambre de commerce et d'industrie Rouen Métropole,2
CROUS de BRETAGNE,2
Département 22,2
Etablissement public national du Mont-Saint-Michel,2
Pays d'iroise Communauté,2
Ifremer,2
Commune de Saint-Grégoire - 35760,2
Préfecture de région des Pays de la Loire,2
E.P.I.S.M. Arc-en-Ciel du Perche Saosnois,2
Smictom Valcobreizh - collecte et traitement des DMA,2
DIRECTION REGIONALE FINANCES PUBLIQUES PAYS DE LA LOIRE ET DEPARTEMENT LOIRE ATLANTIQUE (DRFIP 44),2
Caisse primaire d'assurance maladie de Loire-Atlantique,2
Ministère de l'Agriculture et de la Souveraineté alimentaire,2
Agence BIO,2
SYNDICAT MIXTE POUR L'ETUDE ET LE TRAITEMENT DES ORDURES MENAGERES DE L'EURE (SETOM DE L'EURE),2
Résidence Anaïs de Groucy,2
DIROuest,2
Office public de l'habitat de Saint-Malo Agglomération,2
SATT Ouest-Valorisation,2
Commune D'INGRANDES-LE-FRESNE-SUR-LOIRE,2
PFC BREST,2
"CHD VENDEE, Etablissement support du GHT VENDEE",2
Énergies,2
Mairie de Pont-L'Abbé,2
"Ministère de l'Agriculture, de la Souveraineté alimentaire et de la Forêt",2
Syndicat Intercommunal du Camping de Donville-Granville,2
Commune de Tinchebray Bocage,2
Epl Cholet Sports Loisirs,2
Commune de Saint-Pierre-en-Auge,2
Commune de Quimper,2
Marché de services d'assurance « rapatriement » pour les besoins de la Ville de Brest,2
S3T 'EC SYNDICAT TRAITEMENT DECHETS MENAGERS,2
CCAS de Neuilly-sur-Seine,2
Ville CHARTRES-DE-BRETAGNE,2
S3T'ec SYNDICAT DE TRAITEMENT DES DECHETS MENAGERS,2
Syndicat Mixte Des Ports De La Seine-Maritime,2
Direction interrégionale des douanes de Normandie,2
"Centre hospitalier mémorial France Etats-Unis
715, rue Dunant
50009 Saint-Lô cedex",2
Mairie de Beaumont le Roger,2
Centre Hospitalier du Mans - établissement support du GHT 72,2
Chambre de commerce et d'Industrie du Finistère,2
SDIS 35 - Coordonnateur du Groupement de Commandes,2
GIP FORMATION DE L'ACADEMIE DE RENNES (GIPFAR),2
Syndicat Mixte Les ports de Loire Atlantique,2
CAP-LAN,2
Métropole Rouen Normandie - Régie des équipements culturels,2
Base de plein air et de loisirs,2
"CH de Cornouaille
EPSM du Finistère sud",2
Mairie de Chantepie,2
"SEMBREIZH Agissant au nom et pour le compte du
Département des Côtes d'Armor",2
COMMUNE DE GLOMEL,2
Commune de Brette les Pins,2
La Rance - Saint Malo,2
Communauté de Communes Aumale-Blangy,2
COMMUNAUTE URBAINE CAEN LA MER,2
La Cité des Congrès de Nantes agissant au nom et pour le compte de Nantes Métropole,2
"TERRITOIRES PUBLICS
Mandataire agissant au nom et pour le compte du groupement de commandes constitué par Rennes Métropole et Vezin le Coquet. (Coordinateur du groupement : Rennes Métropole)",2
"Groupement d'autorités concédantes : Régions des Pays de la Loire et Normandie
Coordonnateur : Région des Pays de la Loire",2
Commune de DIGOSVILLE,2
Maison Retraite de Saint Jean Brevelay,2
Commune De Breteuil,2
Commune de Saffré (44),2
"SECRÉTARIAT GÉNÉRAL (SG)
SERVICE DES RESSOURCES HUMAINES (SRH)
Sous-Direction des Politiques Sociales et des Conditions de Travail (SRH3)
Bureau des ressources internes - SRH3C
Secteur Cadre de Vie Professionnel
Bâtiment ATRIUM
5, place des Vins de France - 75573 - PARIS Cedex 12",2
Commune de Pont-Château,2
CHU DE ROUEN NORMANDIE,2
LORIENT AGGLOMERATION,2
DRAC DES PAYS DE LA LOIRE,2
Mairie de BEAUMONT-LE-ROGER,2
Ministère de la Justice - Cour d'appel de ROUEN,2
Etablissement de santé public,2
Scic Sa Viking Center Parc Ornavik,2
Commune de Barfleur,2
Ville de saint herbalin,2
Organisme de droit public,2
PRESTATIONS TRAITEUR,2
Petr du Pays Dieppois - Terroir De Caux,2
MAIRIE DE MAROMME,2
Lycée Public Léonard de Vinci,2
Mairie de BELBEUF,2
Foyer d'Armor / Groupe LB Habitat,2
OPH SAUMUR HABITAT,2
Commune d'Ambrieres-Les-Vallées (53),2
ECOLE NORMALE SUPERIEURE DE RENNES,2
SEO - Centre de soutien technique et administratif,2
SAIEM AGIRE Bailleur social,2
Commune de Louvigny,2
SHEMA - Au nom et pour le compte de la CDC Des Pays de L'Aigle,2
VILLE DE CESSON-SEVIGNE,2
SEMBREIZH au nom et pour le compte de la Commune de l'Ile de Sein,2
AGGLOMERATION EVREUX PORTES DE NORMANDIE,2
ECOLE NATIONALE SUPERIEURE D'ARTS ET METIERS,2
Préfecture Maine et Loire,2
Communauté d'agglomération Pornic agglo Pays de Retz - Direction gestion et prévention des déchets,2
Mairie de Saint-Grégoire 35760 SAINT-GREGOIRE,2
SIAEP de NOCE,2
Commune de Fréhel,2
95 - CAF VAL D'OISE,2
Centre hospitalier mémorial France Etats-Unis de Saint-lô,2
Service départemental d'incendie et de secours de maine-et-loire,2
SIDEPAQ (Syndicat intercommunal pour l'Incinération des Déchets du Pays de Quimper),2
ALBEA,2
Ville De Flers,2
Département de Maine-et-Loire.,2
Centre de Gestion de Loire-Atlantique,2
Commune de Saint Aubin des Coudrais,2
SHEMA - Au nom et pour le compte de la Commune de Bagnoles de L'Orne Normandie,2
CIAS à l'Ouest de Rennes,2
Syndicat Intercommunal d'Assainissement de Saint-Briac Saint Lunaire,2
SEINE-MARITIME NUMERIQUE,2
POLE MEDICO-SOCIAL BAIS/HAMBERS,2
Direction de l'Administration Pénitentiaire,2
CdC Coeur du Perche,2
"Nantes Métropole Aménagement agissant au nom pour le compte de Nantes Métropole - 2, Cours du Champ-de-Mars 44923 Nantes cedex 9",2
VILLE DE REDON,2
EPCI - Communauté de communes Roumois Seine,2
La Communauté de Communes de la Côte d'Albâtre,2
Nantes Métropoles,2
Communauté de Communes Vallées de l'Orne et de l'Odon,2
Communauté d'Agglomération Saumur Val de Loire,2
Coordinateur : Le SYNDICAT MIXTE D'EAU ET D'ASSAINISSEMENT DU CAUX CENTRAL,2
Communauté de communes de Belle-Ile-en-Mer,2
IFPRA Normandie,2
Commune de RIVES D'ANDAINE,2
"COMMUNE DE FREHEL
PLACE CHAMBLY
22240 FREHEL",2
Département du calvados,2
Activité autoroutière,2
Service d'infrastructure de la défense Nord-Ouest,2
Direction interdépartementale des routes Ouest,2
Travaux de réhabilitation de l'Ancien Presbytère à Aubigny (14),2
Commune de Saint-Lunaire,2
"Ville de Clisson 
44190 CLISSON",2
Isigny-Omaha Intercom,2
Communauté de Communes du Pays de Château Gontier (53),2
SAS VENDEE GNV,2
Marché public,2
Sembreizh - Mandataire de la Commune de l'Ile de Sein,2
Commune de Curzon (85),2
Société de gestion de l'aéroport Quimper Cornouaille,2
Direction des Approvisionnements en produits de santé des armées,2
Adoma Siège,2
CCAS de Grand-Couronne,2
Alicorne A88,2
Setram,2
Commune de Vitot,2
Chargée des affaires foncières et marchés,2
EHPAD LA VALLEE DU GOYEN,2
"Service Public Industriel et Commercial de distribution d'eau
Codes CPV:
65130000-3 / 65111000-4",2
DEPARTEMENT DU FINISTERE,2
"CHD VENDEE, Etablissement support GHT 85",2
Chalonnes sur Loire,2
Caisse des Ecoles du 20ème,2
CCI NANTES SAINT-NAZAIRE,2
Commune de SAINT-BARTHELEMY,2
COMMUNE DE LA CHATAIGNERAIE,2
Saep Risle Et Plateaux,2
Aéronautique,2
SYNDICAT INTERCOMMUNAL DU CENTRE AQUATIQUE DU PLATEAU EST DE ROUEN,2
CENTRE COMMUNAL D'ACTION SOCIALE_Résidence La Poterie,2
Agence Régionale de l'Orientation et et des Métiers de Normandie,2
"SPLA TERRITOIRES PUBLICS 
Mandataire agissant au nom et pour le compte de Rennes Métropole",2
URSSAF Normandie,2
"VNF-
Direction territoriale du Bassin de la Seine et Loire aval",2
Nantes métropole et Ville de Nantes,2
Commune De Valliquerville,2
Isigny-Omaha Inbtercom,2
Maison et jardins de Claude MONET,2
SYDEVA,2
Mairie de Jupilles,2
Communauté de communes Pays de Dol et de la Baie du Mont Saint-Michel,2
SDIS de la Mayenne,2
Sgdsn,2
"Maître d'Ouvrage : Ville de VEIGNE, 2 Pl. du Maréchal Leclerc CS 30031, 37250 Veigné, la SET AMENAGEMENT, agissant au nom et pour le compte de la ville de Veigné, représentée par Madame Isabelle CARRON, Directeur général, dans le cadre d'un mandat de maîtrise d'ouvrage.",2
GOLFE DU MORBIBHAN - VANNES AGGLOMERATION,2
ATIGIP RIEP,2
Sécurité sanitaire,2
Alter Public au nom et pour le compte de la ville d'Angers,2
Ville de Nantes en groupement de commande avec Nantes métropole et CCAS,2
Recherche,2
Conseil départemental de l'Orne -,2
CPAM DE L'EURE,2
VILLE DE SAINT RENAN,2
COMMUNE D’EVELLYS,2
Communauté de Communes de la Châtaigneraie (85),2
NEOMA PROJET ET EXPLOITATION CAMPUS,2
Région bretagne,2
Ehpad Pierre De Francheville,2
"Centre hospitalier Mémorial France Etats-Unis 715, rue Dunant
50009 Saint-Lô cedex",2
"GIP CUISINE DU BOCAGE
355 RUE JACQUES PREVERT 61100 FLERS",2
VILLE D'AIZENAY,2
MAIRIE CHATEAUGIRON,2
T.A.E.,2
Domfront Tinchebray Interco,2
DIRECTION NATIONALE GARDE-CÔTES DES DOUANES,2
Etablissement public,2
Communauté de communes du Pays de Mormal,2
MSA HAUTE NORMANDIE,2
COMMUNE DE PLOUGOUMELEN,2
Syndicat Départemental de l'Energie 35,2
Syndicat mixte d'adduction d'eau potable de Terres d'Argentan,2
COMMUNE DE PORSPODER,2
Ville de Saint-Jacques de la Lande,2
CENTRE DE GESTION DE LA FONCTION PUBLIQUE TERRITORIALE DE LA MANCHE,2
VILLE DE BASSE-GOULAINE,2
Commune de La Frenaye,2
INESAAE Institut Agro,2
Centre de Gestion de la FPT de l'Eure,2
Bains sur Oust,2
CONSEIL DÉPARTEMENTAL DU CALVADOS (CD 14),2
VILLE SAINTES,2
CC DU PAYS DE MORTAGNE,2
Alter Public agissant au nom et pour le compte de la Ville de CHOLET,2
Commune de Saint-Paterne - Le Chevain,2
Communauté de communes des Pays de L'AIGLE,2
Val Couesnon,2
Syndicat Intercommunal d'Energies de Maine-et-Loire - Siéml,2
Syndicat Intercommunal d'Energies de Maine-et-Loire (Siéml),2
MRN - Entité Haut Débit,2
Exploitation du chauffage,2
BCRM de Brest - SID Atlantique - SAI /BAM /Section Soutien des Achats - CC16 - 29240 - Brest Cedex 9,2
COMMUNE DE LA VAL D'HAZEY,2
Adm 76,2
Mairie de Sainte-Gemmes-Sur-Loire,2
Commune de Blainville-sur-Orne,2
SDIS 35 - COORDONNATEUR DU GROUPEMENT DE COMMANDES,2
Centre Dramatique National Ndie-Rouen,2
MAIRIE DE PAIMPOL,2
COMMUNAUTE DE COMMUNES COEUR DE NACRE,2
Commune de La Garenne-Colombes,2
SYNDICAT MIXTE DU PLANETARIUM,2
SHEMA au nom et pour le compte de la Commune de Bréhal,2
commune de Saint Lyphard,2
Syndicat Inter-collectivités Des Eaux de la Région Mancelle,2
Commune de La-Haye-Fouassiere,2
Semvit,2
GHT VAL DE SEINE ET PLATEAUX DE L'EURE,2
Syndicat Mixte du Bassin Versant de l'Andelle,2
VALCOR syndicat de traitement d'ordures ménagères,2
Ccas - Résidence Autonomie,2
Centre de gestion de la fonction publique territoriale de la vendée,2
Urssaf Normandie,2
Syndicat de la Touques,2
Syndicat d'eau du roumois et du plateau du neubourg,2
PETIVILLE,2
Mairie de la Plaine sur Mer,2
Université Clermont Auvergne,2
ENSTA,2
EHPAD LES GRANDS PRES BRETONCELLES,2
Service d'Infrastructure de la Défense Sud-Ouest,2
Commune de Val-de-Reuil et CCAS,2
DINAN AGGLOMÉRATION,2
Syndicat mixte ouvert Eure Normandie Numérique,2
Mairie de Fleury-Mérogis,2
Autorité de sûreté nucléaire et de radioprotection (ASNR),2
SIVOM DU SECTEUR DE LIGNE,2
REGION BRETAGNE -DIL-PAJI,2
Direction départementale des territoires et de la Mer de la Manche,2
Commune de Liffré,2
COMMUNE DE SAINT BRIEUC,2
CC PONTHIEU-MARQUENTERRE,2
SPL Destination Saint-Malo Baie du Mont Saint-Michel,2
Commune de Goudelin,2
COMMUNE DE SAINTE-GEMMES-SUR-LOIRE,2
SYNDICAT DU GRAND MAZIER,2
"SID N-O
Quartier Margueritte
BP 14
35998 RENNES CEDEX 9",2
Commune de Saint-Nicolas-du-Pelem,2
Services techniques et administratifs,2
Commune de PONT-CHÂTEAU,2
SMABVO,2
CHIC ALENCON,2
Association 3IFA,2
COMMUNE DE NEUVILLE SAINT DENIS,2
Commune de Perros-Guirec,2
"Mairie de Gisors
Quai du fossé aux tanneurs
27140 Gisors",2
GIP Blanchisserie Inter Hospitalière de Cornouaille,2
Commune de Luceau,2
Pôle Infrastructures Territoriales,2
CHAMBRE AGRICULTURE DU CHER,2
Université De Bretagne Occidentale,2
"Commune de LONLAY L'ABBAYE
2 Place Saint Sauveur
61700 LONLAY L'ABBAYE",2
Commune de Cugand-la-Bernardière (85),2
Communauté de communes Terres de Perches,2
SHEMA - Au nom et pour le compte du CFA3IFA,2
SA GOURNAISIENNE D'HLM,2
Ville d'Aubervilliers,2
12EME BASE SOUT MATER PORTION CTRALE,2
Shom,2
"Gestion et exploitation du cinéma ""Le Normandie""",2
EHPAD DE QUESTEMBERT RESIDENCE DU BOIS JOLI,2
COMMUNE DE KERFOT,2
Etablissement public foncier de Loire Atlantique,2
Region Bretagne,2
Rectorat de Normandie,2
Mutualité Sociale Agricole de Haute Normandie,2
ASSOCATION FACULTE DES METIERS,2
Commune d'Eu,2
SPL AQTA ENERGIES,2
Mairie de Ploeren,2
Communauté de Communes du Pays des Herbiers,2
PARTELIOS GIE,2
Alter Public au nom et pour le compte de la Commune de Loire-Authion,2
TRAVAUX DE REMPLACEMENT DU RESEAU DE PLOMBERIE EAU CHAUDE EAU FROIDE  BOUCLAGE SUR LE SITE DES DE LOUVIERS,2
COMMUNE DE MOULT-CHICHEBOVILLE,2
MSA PORTES DE BRETAGNE,2
DRAC Normandie,2
ATLANSUN,2
"Ministère de l'Education Nationale
Formation continue des adultes à l'Ecucation Nationale",2
ERDEVEN - 56410,2
"Ministère de l’Économie, des Finances et de la Souveraineté Industrielle et Numérique",2
Etablissement Public de l'Etat,2
Commune de SAINT-NICOLAS-DU-PELEM,2
Haut-Léon communauté,2
APNI.,2
Service économique de Ploërmel Communauté,2
Mairie de GOULVEN,2
SIVOS BREVAL-NEAUPHLETTE,2
"Ministères de l’Aménagement du territoire et de la Décentralisation ; Ministère de la Transition écologique, de la Biodiversité, de la Forêt, de la Mer et de la Pêche",2
SMBV DE L'AUSTREBERTHE ET DU SAFFIMBEC,2
COMMUNE DE AUDIERNE,2
Etablissement Français du Sang Centre Pays de la Loire,2
COMMUNE DE VIMOUTIERS,2
LYCEE GENERAL ET TECHNOLOGIQUE ALBERT CAMUS,2
Centre Hospitalier Le Mans,2
Groupement de commandes Ville de Cholet (coordonnateur) / CCAS de Cholet,2
SYNDICAT MIXTE MEGALIS BRETAGNE,2
COMMUNE DE SAINTE GENEVIEVE LES GASNY,2
DIRECTION ADMINISTRATION PENITENTIAIRE,2
Epa shom,2
Service Public d'Assainissement Non Collectif de Domfront-Tinchebray Interco,2
COMMUNE D'ISIGNY-LE-BUAT,2
Commune de Gourin,2
Rectorat de la région académique Pays de la Loire,2
PFC ouest,2
Service Achats Responsables,2
Ville de Brétignolles sur Mer (85),2
CCAS de la Ville de Nantes,2
SPIC - ARENA LOIRE TRELAZE (49),2
DSNA DTI,2
DRAAF PAYS DE LA LOIRE,2
REGION BREGION,2
Commune Saint-Nicolas-du-Pélem,2
"CIAS de la Communauté de communes Côte Ouest Centre Manche
EHPAD LESSAY CREANCES",2
SYSEM - Syndicat Mixte du Sud Est du Morbihan,2
SMAEPDOMFRONT,2
Mairie De Blain,2
COMMUNAUTÉ DE COMMUNES DU PAYS DE PONT-CHÂTEAU - SAINT-GILDAS-DES-BOIS,2
Direction des approvisionnement en produits de santé des Armées,2
MAIRIE DE BLAIN,2
Mairie de BOLBEC,2
Mairie d'Ifs - commune,2
Commune de Moncé en Belin,2
Groupement Commune de Lanvallay et EHPAD Louis Gautier,2
Syndicat mixte de Lorient Keroman,2
SM KERVAL CENTRE ARMOR,2
PFC O RENNES,2
Commune d'Auxi-le-Chateau,2
MAIRIE DE PLERIN,2
Petite enfance Ploërmel Communauté,2
CCI Ille-et-Vilaine,2
LPO NIKOLA TESLA,2
RESEAU CANOPE,2
Charente Maritime Développement agissant au nom et pour le compte de la Commune de Saint Christophe (17220),2
"EPF DE LA VENDEE
123 Boulevard Louis Blanc
85 000 LA ROCHE SUR YON",2
Commune de PONT-CHATEAU 44160,2
Illevia regie regionale des transports,2
Communauté de communes du Pays des Herbiers (CCPH),2
LYCEE GUY MOLLET ARRAS,2
SPL ESKALE D'ARMOR,2
EFS-HFNO,2
SA HLM BSB-LES FOYERS,2
Mairie De Luc Sur Mer,2
Centrale d'achats de Lorient Agglomération,2
Communauté de Communes Val d&#039;Ille-Aubigné,2
CCAS de Mauges sur Loire,2
SGA/SHD,2
"Commune de Taverny
2, place Charles de Gaulle
BP 90002
95155 Taverny Cedex",2
CPAM CERGY PONTOISE,2
ETABLISSEMENT PUBLIC A CARACTERE SCIENTIFIQUE CULTUREL ET PROFESSIONNEL,2
Service Déchets Communauté de Communes des Sources de l'Orne,2
Groupement de commande des Ecoles nationales vétérinaires francaises - Mandataire du groupement : Ecole nationale vétérinaire de Toulouse (EnvT),2
COMMUNE DE SAINT-JEAN-DE-LA-CROIX,2
Mairie de Luisant,2
CHU Caen,2
Région BRETAGNE,2
MAIRIE HERIC,2
Ville de Suresnes,2
RECTORAT DE L'ACADEMIE DE NORMANDIE,2
EHPAD ALIENOR D'AQUITAINE,2
SID-SO,2
CFA 3IFA,2
"Commune de GAVRAY SUR SIENNE
Mandataire, SHEMA",2
Pays de Saint Gilles Croix de Vie Agglomération,2
EFS Centre-Pays de la Loire,2
CATP/AGIR Transport,2
CHU de Rouen Normandie,2
CCAS de Ouistreham,2
AGENCE REGIONALE DE SANTE BRETAGNE,2
EPMS MER ET BOCAGE,2
OFB-SCL,2
Région de Gendarmerie de Bretagne,2
Caf de Loir et Cher,2
EHPAD Les Charmilles,2
l'EHPAD Les Grands Près - Bretoncelles,2
IFPRA NORMANDIE,2
SPL SAUMUR VAL DE LOIRE EQUESTRE,2
Mairie de SAVONNIERES,2
SPL ATLANTIA,2
ADM 76,2
Rives et Eaux du Sud Ouest,2
HOPITAUX DU SUD-MANCHE,2
Gie Sonadev,2
SDE76 - Syndicat départemental d'énergie de Seine-Maritime,2
Loire-Atlantique développement - Spl,2
"EPF DE LA VENDEE
123 Boulevard Louis Blanc
85000 LA ROCHE SUR YON",2
Commune de CHALONNES SUR LOIRE,2
Gestion des déchets,2
RGBRET,2
La Soderec agissant au nom et pour le compte de l'HIPI,2
Crous de Rennes-Bretagne,2
Ehpad Residence De La Scie,2
Syndicat Mixte de Production et Transport d'eau de l'Horn,2
Commune de ANDEL,2
FRANCEAGRIMER,2
Vivre en Cotentin,2
Plate-Forme Commissariat Est,2
SHEMA au nom et pour le compte de la Communauté de Communes des Pays de L'Aigle,2
DAP...,2
SPL Saumur Val de Loire Tourisme,2
Établissement public du Mont-Saint-Michel,2
Mise sous pli et adressage de la propagande électorale pour les élections municipales et communautaires des 15 et 22 mars 2026,2
Commune de Rives du Loir en Anjou (49),2
"Ville de Cholet
Groupement Ville de Cholet - Cholet Agglomération",2
Centre Hospitalier de Landerneau,2
Mairie de Vraiville,2
