review_id,source_stratum,anchor_episode_id,candidate_episode_id,pair_key,selection_text_component
R015,BUYER_DECLARED_RESOLVED,EP-2807a7773c947416,EP-3527fe6f9a4a4d12,EP-2807a7773c947416|EP-3527fe6f9a4a4d12,
R016,PRIMARY_ACCEPTED,EP-e4af54046e2f1c9d,EP-79d1f356d3fe94e4,EP-e4af54046e2f1c9d|EP-79d1f356d3fe94e4,0.7483929514055495
R017,HIGH_SIMILARITY_STRUCTURAL_NEGATIVE,EP-d9d4b0f6b606de60,EP-9d194b45154db893,EP-d9d4b0f6b606de60|EP-9d194b45154db893,1.0
R018,BUYER_DECLARED_RESOLVED,EP-2e670315d32c9b9f,EP-77573725a9eda11e,EP-2e670315d32c9b9f|EP-77573725a9eda11e,
R019,PRIMARY_ACCEPTED,EP-4970a90671221616,EP-38e987ee43705632,EP-4970a90671221616|EP-38e987ee43705632,0.929818574667362
R020,PRIMARY_ACCEPTED,EP-674e1a002793dd03,EP-5955ef9fe7b67657,EP-674e1a002793dd03|EP-5955ef9fe7b67657,0.9186645208639815
R021,HIGH_SIMILARITY_STRUCTURAL_NEGATIVE,EP-ccb20f301a686476,EP-427b79e3f5e5c090,EP-ccb20f301a686476|EP-427b79e3f5e5c090,1.0
R022,PRIMARY_ACCEPTED,EP-ba7842ddb2e81e61,EP-1666577507bc06c6,EP-ba7842ddb2e81e61|EP-1666577507bc06c6,0.9981340147167611
R023,PRIMARY_ACCEPTED,EP-23fa9d715a689309,EP-77546c3b169f2850,EP-23fa9d715a689309|EP-77546c3b169f2850,0.7911264922133883
R024,PRIMARY_ACCEPTED,EP-2fc9d3ab2da9f6f2,EP-881eda45fcd2bc26,EP-2fc9d3ab2da9f6f2|EP-881eda45fcd2bc26,0.889256789322851
R025,BUYER_DECLARED_RESOLVED,EP-5961cb9cfc17bb6a,EP-6ef2cbb9fd1d3654,EP-5961cb9cfc17bb6a|EP-6ef2cbb9fd1d3654,
R026,PRIMARY_ACCEPTED,EP-ba021b2de7d9427e,EP-3e404dd30128b1f7,EP-ba021b2de7d9427e|EP-3e404dd30128b1f7,0.9741519848564213
R027,BUYER_DECLARED_RESOLVED,EP-e2c1eda93439ec6e,EP-62e3bfbcf2efb6ff,EP-e2c1eda93439ec6e|EP-62e3bfbcf2efb6ff,
R028,PRIMARY_ACCEPTED,EP-49d66b5f807d9676,EP-564b9cdf5eb2e43e,EP-49d66b5f807d9676|EP-564b9cdf5eb2e43e,0.8451829636088963
R029,HIGH_SIMILARITY_STRUCTURAL_NEGATIVE,EP-0d844978e901390a,EP-a53499c41a690017,EP-0d844978e901390a|EP-a53499c41a690017,1.0
R030,PRIMARY_ACCEPTED,EP-aecca5d1e0495605,EP-509f08cfe88d8bcc,EP-aecca5d1e0495605|EP-509f08cfe88d8bcc,0.9942551976600276
R031,HIGH_SIMILARITY_STRUCTURAL_NEGATIVE,EP-c4440206ea2051fd,EP-0774a9b96b2c48b3,EP-c4440206ea2051fd|EP-0774a9b96b2c48b3,1.0
R032,BUYER_DECLARED_RESOLVED,EP-cebe3b6dd69dea24,EP-ee4fd60d2dffe530,EP-cebe3b6dd69dea24|EP-ee4fd60d2dffe530,
R033,BUYER_DECLARED_RESOLVED,EP-0c7835de2b3f8a65,EP-9f05c20ae6ca3e9e,EP-0c7835de2b3f8a65|EP-9f05c20ae6ca3e9e,
R034,HIGH_SIMILARITY_STRUCTURAL_NEGATIVE,EP-346c036e34909215,EP-d41b4c14c3704845,EP-346c036e34909215|EP-d41b4c14c3704845,1.0
R035,HIGH_SIMILARITY_STRUCTURAL_NEGATIVE,EP-c0b30a8515900bfb,EP-129064c33ba61606,EP-c0b30a8515900bfb|EP-129064c33ba61606,1.0
R036,HIGH_SIMILARITY_STRUCTURAL_NEGATIVE,EP-ca29763d3edffa81,EP-3988774a1e3cc859,EP-ca29763d3edffa81|EP-3988774a1e3cc859,1.0
R037,BUYER_DECLARED_RESOLVED,EP-ac53da03727ccfd1,EP-65a21133763987ae,EP-ac53da03727ccfd1|EP-65a21133763987ae,
R038,PRIMARY_ACCEPTED,EP-7e08eb2314319dd8,EP-123a6d7dd7726d73,EP-7e08eb2314319dd8|EP-123a6d7dd7726d73,1.0000000000000002
R039,HIGH_SIMILARITY_STRUCTURAL_NEGATIVE,EP-2299e5d815ff319b,EP-89dc88bbfd63869a,EP-2299e5d815ff319b|EP-89dc88bbfd63869a,1.0
R040,PRIMARY_ACCEPTED,EP-2403f1b99821a576,EP-9c670c18e3367175,EP-2403f1b99821a576|EP-9c670c18e3367175,0.8504210617233825
R041,HIGH_SIMILARITY_STRUCTURAL_NEGATIVE,EP-81d4e820e80c253a,EP-bbf629b1e6ae3c19,EP-81d4e820e80c253a|EP-bbf629b1e6ae3c19,1.0
R042,PRIMARY_ACCEPTED,EP-0efc5b0b8afbf454,EP-69d4d0ba1392b14f,EP-0efc5b0b8afbf454|EP-69d4d0ba1392b14f,0.8253970925259351
R043,BUYER_DECLARED_RESOLVED,EP-e9a15323ed7e3afb,EP-77f83caa0cf88839,EP-e9a15323ed7e3afb|EP-77f83caa0cf88839,
R044,HIGH_SIMILARITY_STRUCTURAL_NEGATIVE,EP-ea2dde6cab71d953,EP-73d0b3b2b7c5b2d8,EP-ea2dde6cab71d953|EP-73d0b3b2b7c5b2d8,1.0
R045,BUYER_DECLARED_RESOLVED,EP-2cc7f6dc0d264855,EP-3ada714c9ccd657b,EP-2cc7f6dc0d264855|EP-3ada714c9ccd657b,
R046,HIGH_SIMILARITY_STRUCTURAL_NEGATIVE,EP-41d88ea19b35fbdf,EP-4fe629fdf91bfdf2,EP-41d88ea19b35fbdf|EP-4fe629fdf91bfdf2,1.0
R047,PRIMARY_ACCEPTED,EP-8551de20373ae263,EP-167fd17234863285,EP-8551de20373ae263|EP-167fd17234863285,0.7102251490382145
R048,BUYER_DECLARED_RESOLVED,EP-9e382bc7518fefc6,EP-36b1515fa5d002fd,EP-9e382bc7518fefc6|EP-36b1515fa5d002fd,
R049,PRIMARY_ACCEPTED,EP-c92bb6b602dd59d8,EP-6f6935373f802d72,EP-c92bb6b602dd59d8|EP-6f6935373f802d72,0.9059500544440835
R050,PRIMARY_ACCEPTED,EP-67b7d34a1358ef73,EP-d2a6aa25f0ae8f82,EP-67b7d34a1358ef73|EP-d2a6aa25f0ae8f82,0.887084192839162
R051,HIGH_SIMILARITY_STRUCTURAL_NEGATIVE,EP-76613c5970f37ee7,EP-2b2de4ec28024634,EP-76613c5970f37ee7|EP-2b2de4ec28024634,1.0
R052,HIGH_SIMILARITY_STRUCTURAL_NEGATIVE,EP-7ad94eef528b3399,EP-7be84c4ad39a9c99,EP-7ad94eef528b3399|EP-7be84c4ad39a9c99,1.0
R053,BUYER_DECLARED_RESOLVED,EP-dff13eebb4f4cf84,EP-0e853680824c5e5f,EP-dff13eebb4f4cf84|EP-0e853680824c5e5f,
R054,PRIMARY_ACCEPTED,EP-0e178c104c396462,EP-835c531f65293a41,EP-0e178c104c396462|EP-835c531f65293a41,0.7821977921792552
R055,HIGH_SIMILARITY_STRUCTURAL_NEGATIVE,EP-4b8b3012dd8bf20d,EP-6fd86b8919fea7fa,EP-4b8b3012dd8bf20d|EP-6fd86b8919fea7fa,1.0
R056,BUYER_DECLARED_RESOLVED,EP-05ff9058fd0f6b83,EP-ab10c2c00ea355a5,EP-05ff9058fd0f6b83|EP-ab10c2c00ea355a5,
R057,PRIMARY_ACCEPTED,EP-8f3d3b20f06f3ff7,EP-17a72550563f9b06,EP-8f3d3b20f06f3ff7|EP-17a72550563f9b06,0.730327040836984
R058,BUYER_DECLARED_RESOLVED,EP-1504389bedf919b8,EP-aa6f986ff1a3e888,EP-1504389bedf919b8|EP-aa6f986ff1a3e888,
R059,HIGH_SIMILARITY_STRUCTURAL_NEGATIVE,EP-91b260ff38a3b22c,EP-bfeee4fac8541f34,EP-91b260ff38a3b22c|EP-bfeee4fac8541f34,1.0
R060,BUYER_DECLARED_RESOLVED,EP-58dcf71a4818a3c5,EP-704a599e1b4959e8,EP-58dcf71a4818a3c5|EP-704a599e1b4959e8,
