sample_id,benchmark_split,sampling_stratum,sampling_weight,anchor_episode_id,anchor_award_notice_date,anchor_expected_end_date,anchor_buyer_siren,anchor_buyer_name,anchor_theme,anchor_duration_months,final_outcome,final_successor_episode_ids,final_confidence,final_evidence_urls,final_reason,reference_version
RV-015,PILOT_DEVELOPMENT,CPV-32|buyer_id_missing|duration_missing,2.0,EP-0c7a42dbe93a0197,2015-12-31,,,Brest métropole,CPV-32,,OBSERVED_SUCCESSOR,"[""EP-7580adec0b1d9f9f""]",MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:15-147591"", ""https://www.boamp.fr/pages/avis/?q=idweb:15-165856"", ""https://www.boamp.fr/pages/avis/?q=idweb:15-186153"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-148531"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-184860""]","Same Brest buyer and a new works procedure continuing cabling for traffic signalling, urban equipment and the high-speed network.",internship_v1.0
RV-016,PILOT_DEVELOPMENT,CPV-72|buyer_id|duration_missing,3.7142857142857135,EP-791a20f433b212d6,2018-09-22,,261400931.0,CENTRE HOSPITALIER UNIVERSITAIRE,CPV-72,,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:18-74305"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-131381"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-138100"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-169322"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-5852""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-017,PILOT_DEVELOPMENT,CPV-48|buyer_id|duration,13.25,EP-8a78f19c3a7eae55,2019-04-13,2021-04-13,261400931.0,CENTRE HOSPITALIER UNIVERSITAIRE,CPV-48,23.984,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:18-60887"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-84612"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-57897"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-54802"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-103125"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-5852""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-018,PILOT_DEVELOPMENT,CPV-35|buyer_id_missing|duration,1.0,EP-3887981175043601,2021-11-25,2022-06-27,,Ville de Bouguenais,CPV-35,7.0,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:21-102565"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-106226"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-108511"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-114558"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-154813"", ""https://www.boamp.fr/pages/avis/?q=idweb:24-64185"", ""https://www.boamp.fr/pages/avis/?q=idweb:24-129347"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-68879"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-128156"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-113250"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-151158""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-019,PILOT_DEVELOPMENT,CPV-32|buyer_id|duration_missing,1.0,EP-88c514f9a822db41,2019-11-27,,255003592.0,Syndicat Mixte Manche Numérique,CPV-32,,OBSERVED_SUCCESSOR,"[""EP-658043f693108dc1""]",HIGH,"[""https://www.boamp.fr/pages/avis/?q=idweb:19-176632"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-41674"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-56852"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-101859""]","Same Manche Numérique buyer and a later framework covering mobile services, devices and accessories, continuing the mobile-telephony purchasing need.",internship_v1.0
RV-020,PILOT_DEVELOPMENT,CPV-32|buyer_id_missing|duration_missing,2.0,EP-8dad4547e3e789e5,2019-05-07,,,EMA/DCDIRISI/DIRISI Brest,CPV-32,,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:19-17329"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-71719"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-91062""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-021,LOCKED_TEST,CPV-32|buyer_id_missing|duration_missing,2.0,EP-b7c10ffc23a9e51c,2018-05-25,,,École hautes études en santé publique,CPV-32,,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:17-178575"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-71353"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-135236"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-17746"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-49058"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-99947"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-95299"", ""https://www.boamp.fr/pages/avis/?q=idweb:24-1734""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-023,LOCKED_TEST,CPV-32|buyer_id|duration,4.0,EP-65d102e9abb05e80,2021-11-12,2023-11-13,255003592.0,Syndicat Mixte Manche Numérique,CPV-32,24.0,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:21-106883"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-121824"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-149689"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-101075"", ""https://www.boamp.fr/pages/avis/?q=idweb:24-2498"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-66770"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-98144"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-41674"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-56852"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-101859""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-024,LOCKED_TEST,CPV-32|buyer_id_missing|duration,9.333333333333334,EP-e271e18398216f7d,2016-07-22,2022-01-21,,Université de Nantes,CPV-32,66.0,OBSERVED_SUCCESSOR,"[""EP-139ed3fb82f2934b""]",HIGH,"[""https://www.boamp.fr/pages/avis/?q=idweb:16-48016"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-108990"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-26708"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-77050""]",Same university and infrastructure; the later procedure covers maintenance and evolution of the Wi-Fi infrastructure created or refitted by the anchor.,internship_v1.0
RV-025,LOCKED_TEST,CPV-32|buyer_id_missing|duration,9.333333333333334,EP-732e3d9024c413de,2020-12-23,2021-06-24,,MARINE/DCSSF/ DSSFBrest,CPV-32,6.0,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:20-44434"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-156116"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-54609"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-163799"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-47760"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-163725"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-92767"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-7500""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-027,LOCKED_TEST,CPV-72|buyer_id|duration_missing,3.7142857142857135,EP-01a0f7908460d2ce,2020-03-13,,130003627.0,École hautes études en santé publique,CPV-72,,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:20-37176"", ""https://www.boamp.fr/pages/avis/?q=idweb:24-46130"", ""https://www.boamp.fr/pages/avis/?q=idweb:24-89916"", ""https://www.boamp.fr/pages/avis/?q=idweb:24-34988"", ""https://www.boamp.fr/pages/avis/?q=idweb:24-86714"", ""https://www.boamp.fr/pages/avis/?q=idweb:24-98064"", ""https://www.boamp.fr/pages/avis/?q=idweb:24-139489""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-028,LOCKED_TEST,CPV-48|buyer_id_missing|duration,41.625,EP-fc7bfbd84490845b,2016-11-28,2020-02-29,,ADEME,CPV-48,39.0,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:16-67267"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-160467"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-8432"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-54586"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-56465"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-126376"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-131827"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-133791""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-029,LOCKED_TEST,CPV-72|buyer_id_missing|duration,67.57142857142857,EP-2ac1f8d29d7cb0e7,2022-03-12,2024-03-12,,Sorbonne Université,CPV-72,24.0,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:21-155518"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-158608"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-34473"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-164692"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-131929"", ""https://www.boamp.fr/pages/avis/?q=idweb:24-3359"", ""https://www.boamp.fr/pages/avis/?q=idweb:24-78608""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-031,LOCKED_TEST,CPV-48|buyer_id_missing|duration_missing,14.125,EP-3dd334ed60dd8eb4,2018-11-29,,,CTE REG PECHES MARITIMES ELEVAGES MARI,CPV-48,,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:18-110801"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-166754"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-154127"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-160849"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-151598""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-032,LOCKED_TEST,CPV-32|buyer_id|duration_missing,1.0,EP-4e4727b287bf8935,2016-04-30,,227200029.0,Département de la Sarthe,CPV-32,,OBSERVED_SUCCESSOR,"[""EP-bfc9d602357cbb4a""]",MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:15-187883"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-9086"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-61085"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-150503"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-63053""]",Same department and colleges; the later procedure provides operational maintenance for the computer networks and IP telephony deployed by the anchor.,internship_v1.0
RV-034,LOCKED_TEST,CPV-72|buyer_id|duration_missing,3.7142857142857135,EP-208ea0d92b29fdb3,2019-12-11,,130003627.0,École hautes études en santé publique,CPV-72,,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:19-183431"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-37176"", ""https://www.boamp.fr/pages/avis/?q=idweb:24-46130"", ""https://www.boamp.fr/pages/avis/?q=idweb:24-89916"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-95299"", ""https://www.boamp.fr/pages/avis/?q=idweb:24-1734""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-037,LOCKED_TEST,CPV-35|buyer_id_missing|duration_missing,1.0,EP-8cee77cf59c60d98,2016-02-08,,,Conseil départemental de la Mayenne,CPV-35,,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:16-14952"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-57408"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-62883"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-87646""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-038,LOCKED_TEST,CPV-48|buyer_id_missing|duration_missing,14.125,EP-afc4aec9b670f309,2018-08-19,,,Nantes Métropole,CPV-48,,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:18-116745"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-69242"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-88894"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-143183"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-153479""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-039,LOCKED_TEST,CPV-48|buyer_id|duration_missing,2.0,EP-6d1f6e6f718b1cc7,2019-04-12,,261400931.0,CENTRE HOSPITALIER UNIVERSITAIRE,CPV-48,,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:19-57992"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-144948"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-50010"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-16615"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-20290""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-041,LOCKED_TEST,CPV-48|buyer_id|duration_missing,2.0,EP-a959ff0f4cb86340,2016-07-04,,200050425.0,SDE35,CPV-48,,OBSERVED_SUCCESSOR,"[""EP-f392aa822ca99f0c""]",HIGH,"[""https://www.boamp.fr/pages/avis/?q=idweb:15-124753"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-98545"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-74094""]","Same SDE35 buyer and nearly identical acquisition, implementation, integration and maintenance need for the business-management software.",internship_v1.0
RV-043,LOCKED_TEST,CPV-72|buyer_id_missing|duration_missing,21.142857142857142,EP-83f8367db8dd7d43,2015-04-14,,,Ville de Rouen,CPV-72,,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:15-56279"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-168112"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-23117"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-40521"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-50365""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-044,LOCKED_TEST,CPV-32|buyer_id_missing|duration,9.333333333333334,EP-8c37de7e23103c21,2016-05-23,2020-05-23,,Syndicat mixte mégalis bretagne,CPV-32,48.0,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:16-34992"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-74313"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-40467"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-131127"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-137461"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-12302"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-6799"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-38770""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-045,LOCKED_TEST,CPV-32|buyer_id_missing|duration,9.333333333333334,EP-85cf5f7bcf99b6ea,2017-12-03,2018-12-04,,DESTINATION RENNES Tourisme Congrès,CPV-32,12.0,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:17-147561"", ""https://www.boamp.fr/pages/avis/?q=idweb:17-169748"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-142631"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-146410"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-124729"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-125049""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
