sample_id,benchmark_split,sampling_stratum,stratum_population_n,stratum_sample_n,inclusion_probability,sampling_weight,anchor_episode_id,anchor_notice_ids_json,anchor_award_notice_date,anchor_expected_end_date,anchor_buyer_siren,anchor_buyer_name,anchor_regions_json,anchor_cpv_codes_json,anchor_theme,anchor_duration_months,anchor_text,anchor_urls_json,broad_candidate_pool_n,review_candidates_exported_n,reviewer_1_outcome,reviewer_1_successor_episode_ids,reviewer_1_confidence,reviewer_1_evidence_urls,reviewer_1_notes,reviewer_2_outcome,reviewer_2_successor_episode_ids,reviewer_2_confidence,reviewer_2_evidence_urls,reviewer_2_notes,adjudicated_outcome,adjudicated_successor_episode_ids,adjudication_confidence,adjudication_evidence_urls,adjudication_notes,annotation_status,final_outcome,final_successor_episode_ids,final_confidence,final_evidence_urls,final_reason,primary_evaluation_eligible,quality_flag,exclusion_reason,review_method,source_coverage,review_date,reference_version
RV-031,LOCKED_TEST,CPV-48|buyer_id_missing|duration_missing,113,8,0.0707964601769911,14.125,EP-3dd334ed60dd8eb4,"[""18-110801"", ""18-166754""]",2018-11-29,,,CTE REG PECHES MARITIMES ELEVAGES MARI,"[""Pays de la Loire""]","[""48610000""]",CPV-48,,"creation d un logiciel de gestion de licences et autorisations de peche creation d un logiciel de gestion de licences et autorisations de peche 
 creation d un logiciel de gestion de licences et autorisations de peche","[""https://www.boamp.fr/pages/avis/?q=idweb:18-110801"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-166754""]",7,7,,,,,,,,,,,,,,,,NOT_STARTED,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:18-110801"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-166754"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-154127"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-160849"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-151598""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",True,,,SINGLE_EVIDENCE_REVIEW_SUPPLIED_BOAMP_CORPUS,BOAMP supplied corpus and official notice URLs; no exhaustive TED/DECP search,2026-08-11,internship_v1.0
RV-032,LOCKED_TEST,CPV-32|buyer_id|duration_missing,9,9,1.0,1.0,EP-4e4727b287bf8935,"[""15-187883"", ""16-9086"", ""16-61085""]",2016-04-30,,227200029.0,Département de la Sarthe,"[""Pays de la Loire""]","[""32420000"", ""32421000"", ""32400000"", ""32200000""]",CPV-32,,"fourniture pour le deploiement de reseaux tele informatiques dans les colleges publics de la sarthe au mans deploiement de reseaux tele informatiques dans les colleges publics de la sarthe marches a bons de commande sans minimum ni maximum equipements actifs de reseau equipements et prestations de telephonie 
 fourniture pour le deploiement de reseaux tele informatiques dans les colleges publics de la sarthe au mans rectificatif deploiement de reseaux tele informatiques dans les colleges publics de la sarthe marches a bons de commande sans minimum ni maximum 
 deploiement de reseaux tele informatiques dans les colleges publics de la sarthe marches a bons de commande sans minimum ni maximum equipements actifs de reseau equipements et prestations de telephonie","[""https://www.boamp.fr/pages/avis/?q=idweb:15-187883"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-9086"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-61085""]",663,25,,,,,,,,,,,,,,,,NOT_STARTED,OBSERVED_SUCCESSOR,"[""EP-bfc9d602357cbb4a""]",MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:15-187883"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-9086"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-61085"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-150503"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-63053""]",Same department and colleges; the later procedure provides operational maintenance for the computer networks and IP telephony deployed by the anchor.,True,,,SINGLE_EVIDENCE_REVIEW_SUPPLIED_BOAMP_CORPUS,BOAMP supplied corpus and official notice URLs; no exhaustive TED/DECP search,2026-08-11,internship_v1.0
RV-033,LOCKED_TEST,CPV-32|buyer_id|duration_missing,9,9,1.0,1.0,EP-262c588b7ff0d434,"[""15-71759"", ""15-136360"", ""15-169051""]",2015-09-07,,243500774.0,COMMUNAUTE DE COMMUNES PAYS DE LIFFRE,"[""Bretagne""]","[""45112500"", ""32424000"", ""45314300"", ""45232454"", ""45233120"", ""45232423"", ""34928500""]",CPV-32,,"creation des equipements structurants de la zac de sevailles a liffre creation des equipements structurants de la zac de sevailles terrassements voirie realisation de voies structurantes modification d un rond point d autoroute et creation d un rond point assainissement eaux usees eaux pluviales alimentation eau potable tranchees gaz reseau eaux usees en pvc cr16 reseau eaux pluviales en beton distribution eau potable en pehd electrosoude detectable surlargeur de tranchees pour le gaz fourreaux electricite eclairage public genie civil telecommunications fibre optique fourreaux electricite fourreaux cablage et mobilier d eclairage public genie civil telecommunications fibre optique creation de zones humides renaturation de 340 ml de cours d eau creation de 2 14 ha de zones humides bassins et ouvrages de gestion des eaux pluviales creation d un bassin et des equipements de lutte contre l incendie 
 creation des equipements structurants de la zac de sevailles a liffre creation des equipements structurants de la zac de sevailles","[""https://www.boamp.fr/pages/avis/?q=idweb:15-71759"", ""https://www.boamp.fr/pages/avis/?q=idweb:15-136360"", ""https://www.boamp.fr/pages/avis/?q=idweb:15-169051""]",227,25,,,,,,,,,,,,,,,,NOT_STARTED,OUTSIDE_SCOPE,[],HIGH,"[""https://www.boamp.fr/pages/avis/?q=idweb:15-71759"", ""https://www.boamp.fr/pages/avis/?q=idweb:15-136360"", ""https://www.boamp.fr/pages/avis/?q=idweb:15-169051""]",General infrastructure works for a development zone are outside the intended digital procurement scope.,False,,Anchor is outside the intended digital-procurement scope.,SINGLE_EVIDENCE_REVIEW_SUPPLIED_BOAMP_CORPUS,BOAMP supplied corpus and official notice URLs; no exhaustive TED/DECP search,2026-08-11,internship_v1.0
RV-034,LOCKED_TEST,CPV-72|buyer_id|duration_missing,26,7,0.2692307692307692,3.7142857142857135,EP-208ea0d92b29fdb3,"[""19-183431""]",2019-12-11,,130003627.0,École hautes études en santé publique,"[""Bretagne""]","[""72250000""]",CPV-72,,maintenance et assistance du progiciel siscole le marche a pour objet les prestations de maintenance et d assistance sur le progiciel siscole marche de maintenance et d assistance sur le progiciel op,"[""https://www.boamp.fr/pages/avis/?q=idweb:19-183431""]",23,23,,,,,,,,,,,,,,,,NOT_STARTED,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:19-183431"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-37176"", ""https://www.boamp.fr/pages/avis/?q=idweb:24-46130"", ""https://www.boamp.fr/pages/avis/?q=idweb:24-89916"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-95299"", ""https://www.boamp.fr/pages/avis/?q=idweb:24-1734""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",True,,,SINGLE_EVIDENCE_REVIEW_SUPPLIED_BOAMP_CORPUS,BOAMP supplied corpus and official notice URLs; no exhaustive TED/DECP search,2026-08-11,internship_v1.0
RV-035,LOCKED_TEST,CPV-32|buyer_id|duration,48,12,0.25,4.0,EP-243e7307a67f9e3a,"[""16-103088"", ""16-167133""]",2016-11-20,2017-08-21,247200132.0,Le Mans Métropole - Communauté Urbaine,"[""Pays de la Loire""]","[""30200000"", ""43800000"", ""34322100"", ""44510000"", ""32236000"", ""44321000"", ""30233300""]",CPV-32,9.0,equipement en materiels informatique technique et logiciels pour la setram consultation decomposee en 13 lots le lot 12 comporte une tranche ferme et une tranche optionnelle fourniture et installation de materiel informatique et logiciels centrale d aspiration d huile cuve pour stockage de liquide de refroidissement station d entretien climatisation kit coussins de levage accumulateurs de systemes de freinage compteurs d huile atelier appareil a griffer la ligne aerienne de contact palans a levier a rochet 1500 kg acquisition de sept radiotelephones portatifs remplacement cable arret d urgence t13 automates et lecteurs controle d acces appareil de vidange et de recuperation du gaz pour la maintenance autobus,"[""https://www.boamp.fr/pages/avis/?q=idweb:16-103088"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-167133""]",676,25,,,,,,,,,,,,,,,,NOT_STARTED,OUTSIDE_SCOPE,[],HIGH,"[""https://www.boamp.fr/pages/avis/?q=idweb:16-103088"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-167133""]",Mixed SETRAM technical equipment and supplies are not sufficiently specific to a digital need.,False,,Anchor is outside the intended digital-procurement scope.,SINGLE_EVIDENCE_REVIEW_SUPPLIED_BOAMP_CORPUS,BOAMP supplied corpus and official notice URLs; no exhaustive TED/DECP search,2026-08-11,internship_v1.0
RV-036,LOCKED_TEST,CPV-72|buyer_id|duration,194,7,0.0360824742268041,27.714285714285715,EP-d5fc0322c35b23fc,"[""19-156761"", ""20-66937""]",2020-05-22,2022-05-23,818969552.0,Ville d'Alençon,"[""Normandie"", ""Pays de la Loire""]","[""71310000"", ""72224000""]",CPV-72,24.0,prestations de management de societe et d appui a la gestion operationnelle et de conduite d actions et d operation d amenagement et de construction prestations de management de societe et d appui a la gestion operationnelle pour la s p l creee par la ville et la communaute urbaine d alencon pour la conduite d actions et d operation d amenagement et de constructionaccord cadre monoattributaire a bons de commande sans minimum ni maximum attribution d un marche unique accord cadre conclu pour une periode initiale de 2 ans il est renouvelable tacitement deux fois un an,"[""https://www.boamp.fr/pages/avis/?q=idweb:19-156761"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-66937""]",162,25,,,,,,,,,,,,,,,,NOT_STARTED,OUTSIDE_SCOPE,[],HIGH,"[""https://www.boamp.fr/pages/avis/?q=idweb:19-156761"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-66937""]",Corporate management and operational-support services are outside the intended digital procurement scope.,False,,Anchor is outside the intended digital-procurement scope.,SINGLE_EVIDENCE_REVIEW_SUPPLIED_BOAMP_CORPUS,BOAMP supplied corpus and official notice URLs; no exhaustive TED/DECP search,2026-08-11,internship_v1.0
RV-037,LOCKED_TEST,CPV-35|buyer_id_missing|duration_missing,4,4,1.0,1.0,EP-8cee77cf59c60d98,"[""16-14952""]",2016-02-08,,,Conseil départemental de la Mayenne,"[""Pays de la Loire""]","[""35710000""]",CPV-35,,progiciels de gestion financiere et de transport scolaire a laval progiciels de gestion financiere et de transport scolaire,"[""https://www.boamp.fr/pages/avis/?q=idweb:16-14952""]",685,25,,,,,,,,,,,,,,,,NOT_STARTED,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:16-14952"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-57408"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-62883"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-87646""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",True,,,SINGLE_EVIDENCE_REVIEW_SUPPLIED_BOAMP_CORPUS,BOAMP supplied corpus and official notice URLs; no exhaustive TED/DECP search,2026-08-11,internship_v1.0
RV-038,LOCKED_TEST,CPV-48|buyer_id_missing|duration_missing,113,8,0.0707964601769911,14.125,EP-afc4aec9b670f309,"[""18-116745""]",2018-08-19,,,Nantes Métropole,"[""Pays de la Loire""]","[""48000000""]",CPV-48,,mise en oeuvre d une solution de gestion et de suivi des declarations de travaux et des recepisses associes mise en uvre d une solution de gestion et de suivi des declarations de travaux et des recepisses associes maintenance et prestations associees pour le compte du groupement de commandes informatiques mise en uvre d une solution de gestion et de suivi des declarations de travaux et des recepisses associes maintenance et prestations associees pour le compte du groupement de commandes informatiques nantes metropole ville de nantes mise en uvre d une solution de gestion et de suivi des declarations de travaux et des recepisses associes maintenance et prestations associees pour le compte du groupement de commandes informatiques,"[""https://www.boamp.fr/pages/avis/?q=idweb:18-116745""]",2952,25,,,,,,,,,,,,,,,,NOT_STARTED,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:18-116745"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-69242"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-88894"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-143183"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-153479""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",True,,,SINGLE_EVIDENCE_REVIEW_SUPPLIED_BOAMP_CORPUS,BOAMP supplied corpus and official notice URLs; no exhaustive TED/DECP search,2026-08-11,internship_v1.0
RV-039,LOCKED_TEST,CPV-48|buyer_id|duration_missing,14,7,0.5,2.0,EP-6d1f6e6f718b1cc7,"[""19-57992""]",2019-04-12,,261400931.0,CENTRE HOSPITALIER UNIVERSITAIRE,"[""Normandie""]","[""48000000""]",CPV-48,,acquisition et mise en oeuvre de modules complementaires et prestations concernant les applications du si acquisition et mise en oeuvre de modules complementaires et prestations concernant les applications du systeme d information du chu de caen editees par la societe maincare solutions acquisition et mise en oeuvre de modules complementaires et prestations concernant les applications du systeme d information,"[""https://www.boamp.fr/pages/avis/?q=idweb:19-57992""]",765,25,,,,,,,,,,,,,,,,NOT_STARTED,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:19-57992"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-144948"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-50010"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-16615"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-20290""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",True,,,SINGLE_EVIDENCE_REVIEW_SUPPLIED_BOAMP_CORPUS,BOAMP supplied corpus and official notice URLs; no exhaustive TED/DECP search,2026-08-11,internship_v1.0
RV-040,LOCKED_TEST,CPV-32|buyer_id_missing|duration_missing,24,12,0.5,2.0,EP-e5194ded74aa0a82,"[""17-90498""]",2017-06-29,,,Commune de Thorigné-Fouillard,"[""Bretagne""]","[""45230000"", ""45233120"", ""45232410"", ""34993000"", ""32412100""]",CPV-32,,travaux d amenagement de la 3eme tranche de la zac de la vigne terrassements voirie assainissement eaux usees et eaux pluviales reseaux telecommunication basse tension eclairage public tranchees hta et gaz terrassements voirie assainissement eaux usees et eaux pluviales reseaux telecommunication basse tension eclairage public tranchees hta et gaz,"[""https://www.boamp.fr/pages/avis/?q=idweb:17-90498""]",7,7,,,,,,,,,,,,,,,,NOT_STARTED,OUTSIDE_SCOPE,[],HIGH,"[""https://www.boamp.fr/pages/avis/?q=idweb:17-90498""]",Development-zone civil works are outside the intended digital procurement scope.,False,,Anchor is outside the intended digital-procurement scope.,SINGLE_EVIDENCE_REVIEW_SUPPLIED_BOAMP_CORPUS,BOAMP supplied corpus and official notice URLs; no exhaustive TED/DECP search,2026-08-11,internship_v1.0
RV-041,LOCKED_TEST,CPV-48|buyer_id|duration_missing,14,7,0.5,2.0,EP-a959ff0f4cb86340,"[""15-124753"", ""16-98545""]",2016-07-04,,200050425.0,SDE35,"[""Bretagne""]","[""48000000"", ""72267000"", ""72261000"", ""80533000""]",CPV-48,,"acquisition mise en oeuvre integration et maintenance d un logiciel de gestion des affaires pour le compte du sde35 a thorigne fouillard 2015 mf03 l appel a candidature concerne l acquisition la mise en oeuvre l integration et la maintenance d un logiciel de gestion des affaires pour le sde35 
 acquisition mise en oeuvre integration et maintenance d un logiciel de gestion des affaires du sde35 acquisition mise en oeuvre integration et maintenance d un logiciel de gestion des affaires du sde35 le present dialogue competitif porte sur l acquisition la mise en uvre l integration et la maintenanced un logiciel de gestion des affaires au sde35 et les prestations associees acquisition mise en uvre integration et maintenance d un logiciel de gestion des affaires pour le sde35 acquisition mise en oeuvre integration et maintenance d un logiciel de gestion des affaires pour le sde35","[""https://www.boamp.fr/pages/avis/?q=idweb:15-124753"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-98545""]",62,25,,,,,,,,,,,,,,,,NOT_STARTED,OBSERVED_SUCCESSOR,"[""EP-f392aa822ca99f0c""]",HIGH,"[""https://www.boamp.fr/pages/avis/?q=idweb:15-124753"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-98545"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-74094""]","Same SDE35 buyer and nearly identical acquisition, implementation, integration and maintenance need for the business-management software.",True,,,SINGLE_EVIDENCE_REVIEW_SUPPLIED_BOAMP_CORPUS,BOAMP supplied corpus and official notice URLs; no exhaustive TED/DECP search,2026-08-11,internship_v1.0
RV-042,LOCKED_TEST,CPV-35|buyer_id_missing|duration,9,9,1.0,1.0,EP-88ec6140fd9d0436,"[""18-146927"", ""19-34719""]",2019-03-07,2023-09-06,,CCAS DE LA ROCHE-SUR-YON,"[""Pays de la Loire""]","[""33195000"", ""35121700"", ""35125000""]",CPV-35,54.0,"evolution des appels infirmieres et des systemes d anti fugues des ehpad du centre communal d action sociale de la roche sur yon evolution des appels infirmieres et des systemes d anti fugues des ehpad du centre communal d action sociale de la roche sur yon les prestations portent sur la fourniture et l installation des appels infirmieres et des systemes d anti fugues des 5 ehpad du centre communal d action sociale de la roche sur yon soit 419 residents a titre indicatif le marche debutera en fevrier 2019 le titulaire devra ensuite assurer la garantie sur site a compter de la date anniversaire de la vsr pour 12 mois le service de garantie reprendra sans restriction les conditions du service de maintenance preventive et curative materielle et logicielle decrites au cctp et les niveaux d engagement associes le titulaire fournira ensuite des prestations de service de maintenance sur les equipements et logiciels pour une duree de 3 ans les prestations portent sur la fourniture et l installation des appels infirmieres et des systemes d anti fugues des 5 ehpad du centre communal d action sociale de la roche sur yon soit 419 residents a titre indicatif le marche debutera en fevrier 2019 le titulaire devra ensuite assurer la garantie sur site a compter de la date anniversaire de la vsr pour 12 mois le service de garantie reprendra sans restriction les conditions du service de maintenance preventive et curative materielle et logicielle decrites au cctp et les niveaux d engagement associes le titulaire fournira ensuite des prestations de service de maintenance sur les equipements et logiciels pour une duree de 3 ans 
 evolution des appels infirmieres et des systemes d anti fugues des ehpad du centre communal d action sociale de la roche sur yon evolution des appels infirmieres et des systemes d anti fugues des ehpad du centre communal d action sociale de la roche sur yon les prestations portent sur la fourniture et l installation des appels infirmieres et des systemes d anti fugues des 5 ehpad du centre communal d action sociale de la roche sur yon soit 419 residents le titulaire doit assurer la garantie sur site a compter de la date anniversaire de la vsr pour 12 mois le service de garantie reprendra sans restriction les conditions du service de maintenance preventive et curative materielle et logicielle decrites au cctp et les niveaux d engagement associes le titulaire fournira ensuite des prestations de service de maintenance sur les equipements et logiciels pour une duree de 3 ans","[""https://www.boamp.fr/pages/avis/?q=idweb:18-146927"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-34719""]",12,12,,,,,,,,,,,,,,,,NOT_STARTED,OBSERVED_SUCCESSOR,"[""EP-95519c6f991fe915""]",HIGH,"[""https://www.boamp.fr/pages/avis/?q=idweb:18-146927"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-34719"", ""https://www.boamp.fr/pages/avis/?q=idweb:25-98483""]",The later CIAS procedure continues maintenance and evolution of nurse-call and anti-wandering systems for the same local elderly-care establishments.,False,POSSIBLE_DUPLICATE_ANCHOR,Possible duplicate anchor procedure with RV-052; retained in the full table but excluded from the primary evaluation subset to avoid double counting.,SINGLE_EVIDENCE_REVIEW_SUPPLIED_BOAMP_CORPUS,BOAMP supplied corpus and official notice URLs; no exhaustive TED/DECP search,2026-08-11,internship_v1.0
RV-043,LOCKED_TEST,CPV-72|buyer_id_missing|duration_missing,148,7,0.0472972972972973,21.142857142857142,EP-83f8367db8dd7d43,"[""15-56279""]",2015-04-14,,,Ville de Rouen,"[""Normandie""]","[""72267100""]",CPV-72,,maintien en conditions operationnelles des modules de la solution de gestion des marches publics marco a rouen maintien en conditions operationnelles des modules de la solution de gestion des marches publics marco marche a bons de commandes sans minimum ni maximum conclu en application de l article 35 ii 8 du code des marches publics le montant estime des depenses sur 4 ans est de 100 000 euro h t,"[""https://www.boamp.fr/pages/avis/?q=idweb:15-56279""]",526,25,,,,,,,,,,,,,,,,NOT_STARTED,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:15-56279"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-168112"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-23117"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-40521"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-50365""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",True,,,SINGLE_EVIDENCE_REVIEW_SUPPLIED_BOAMP_CORPUS,BOAMP supplied corpus and official notice URLs; no exhaustive TED/DECP search,2026-08-11,internship_v1.0
RV-044,LOCKED_TEST,CPV-32|buyer_id_missing|duration,112,12,0.1071428571428571,9.333333333333334,EP-8c37de7e23103c21,"[""16-34992"", ""16-74313""]",2016-05-23,2020-05-23,,Syndicat mixte mégalis bretagne,"[""Bretagne""]","[""64210000"", ""32550000""]",CPV-32,48.0,"fourniture d une solution de gestion de telephonie fixe en toip a cessons sevigne fourniture d une solution de gestion de telephonie fixe en toip 
 fourniture d une solution de gestion de telephonie fixe en toip","[""https://www.boamp.fr/pages/avis/?q=idweb:16-34992"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-74313""]",78,25,,,,,,,,,,,,,,,,NOT_STARTED,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:16-34992"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-74313"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-40467"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-131127"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-137461"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-12302"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-6799"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-38770""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",True,,,SINGLE_EVIDENCE_REVIEW_SUPPLIED_BOAMP_CORPUS,BOAMP supplied corpus and official notice URLs; no exhaustive TED/DECP search,2026-08-11,internship_v1.0
RV-045,LOCKED_TEST,CPV-32|buyer_id_missing|duration,112,12,0.1071428571428571,9.333333333333334,EP-85cf5f7bcf99b6ea,"[""17-147561"", ""17-169748""]",2017-12-03,2018-12-04,,DESTINATION RENNES Tourisme Congrès,"[""Bretagne""]","[""32424000""]",CPV-32,12.0,"marche de conception realisation d une infrastructure antennaire multi operateur 3g 4g pour le centre des congres couvent des jacobins marche de conception realisation d une infrastructure antennaire multi operateurs 3g 4g pour le centre des congres couvent des jacobins la societe publique locale destination rennes est chargee dans le cadre d une delegation de service public confiee par rennes metropole de la gestion l exploitation et la promotion du centre des congres couvent des jacobins dans l optique d offrir une couverture optimale a ses clients la spl souhaite investir dans une couverture 3g 4g interne dans le but d accueillir les operateurs titulaires d une licence d exploitation des reseaux 3g et 4g au sein du centre congres couvent des jacobins a rennes il s agit d un marche de conception realisation pour lequel le titulaire aura a sa charge la conception de l infrastructure antennaire multi operateurs 3g 4g et evolutive les travaux de realisation de l infrastructure antennaire et de raccordement avec le reseau 4g des operateurs mobiles francais afin d apporter les services de telephonie mobile et 4g a l interieur des sites la societe publique locale destination rennes est chargee dans le cadre d une delegation de service public confiee par rennes metropole de la gestion l exploitation et la promotion du centre des congres couvent des jacobins dans l optique d offrir une couverture optimale a ses clients la spl souhaite investir dans une couverture 3g 4g interne dans le but d accueillir les operateurs titulaires d une licence d exploitation des reseaux 3g et 4g au sein du centre congres couvent des jacobins a rennes il s agit d un marche de conception realisation pour lequel le titulaire aura a sa charge la conception de l infrastructure antennaire multi operateurs 3g 4g et evolutive les travaux de realisation de l infrastructure antennaire et de raccordement avec le reseau 4g des operateurs mobiles francais afin d apporter les services de telephonie mobile et 4g a l interieur des sites 
 marche de conception realisation d une infrastructure antennaire multi operateur 3g 4g pour le centre des congres couvent des jacobins marche de conception realisation d une infrastructure antennaire multi operateurs 3g 4g pour le centre des congres couvent des jacobins la societe publique locale destination rennes est chargee dans le cadre d une delegation de service public confiee par rennes metropole de la gestion l exploitation et la promotion du centre des congres couvent des jacobins dans l optique d offrir une couverture optimale a ses clients la spl souhaite investir dans une couverture 3g 4g interne dans le but d accueillir les operateurs titulaires d une licence d exploitation des reseaux 3g et 4g au sein du centre congres couvent des jacobins a rennes il s agit d un marche de conception realisation pour lequel le titulaire aura a sa charge la conception de l infrastructure antennaire multi operateurs 3g 4g et evolutive les travaux de realisation de l infrastructure antennaire et de raccordement avec le reseau 4g des operateurs mobiles francais afin d apporter les services de telephonie mobile et 4g a l interieur des sites marche de conception realisation d une infrastructure antennaire interne multi operateurs 3g 4g pour le centre des congres couvent des jacobins","[""https://www.boamp.fr/pages/avis/?q=idweb:17-147561"", ""https://www.boamp.fr/pages/avis/?q=idweb:17-169748""]",51,25,,,,,,,,,,,,,,,,NOT_STARTED,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:17-147561"", ""https://www.boamp.fr/pages/avis/?q=idweb:17-169748"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-142631"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-146410"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-124729"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-125049""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",True,,,SINGLE_EVIDENCE_REVIEW_SUPPLIED_BOAMP_CORPUS,BOAMP supplied corpus and official notice URLs; no exhaustive TED/DECP search,2026-08-11,internship_v1.0
RV-046,LOCKED_TEST,CPV-48|buyer_id_missing|duration_missing,113,8,0.0707964601769911,14.125,EP-e95abb916548b865,"[""15-184881"", ""16-78934""]",2016-06-02,,,Ville de Caen,"[""Normandie"", ""Bretagne""]","[""48900000""]",CPV-48,,"solution d achat et de controle de titres et abonnements de stationnement de surface dematerialises a caen solution d achat et de controle de titres et abonnements de stationnement de surface dematerialises 
 solution d achat et de controle de titres et abonnements de stationnement de surface dematerialises","[""https://www.boamp.fr/pages/avis/?q=idweb:15-184881"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-78934""]",339,25,,,,,,,,,,,,,,,,NOT_STARTED,OBSERVED_SUCCESSOR,"[""EP-1e702d8ff86782c4""]",MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:15-184881"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-78934"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-166173"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-71666""]",Same City of Caen parking function; the later procedure integrates operation of paid parking and the related control equipment.,True,,,SINGLE_EVIDENCE_REVIEW_SUPPLIED_BOAMP_CORPUS,BOAMP supplied corpus and official notice URLs; no exhaustive TED/DECP search,2026-08-11,internship_v1.0
